county_fips,state,county,region,population,poverty_pct,child_poverty_pct,poverty_pct_black,poverty_pct_hispanic,poverty_pct_white,median_income,unemployment_pct,unemployment_rate_ahrf,uninsured_pct,uninsured_under64_pct,medicaid_pct,snap_pct,snap_below_poverty_pct,median_rent,rent_burden_30pct,rent_burden_50pct,broadband_pct,public_transit_pct,higher_ed_pct,dist_emergency_dept,dist_trauma_center,dist_clinic,dist_obstetrics,age_65plus_pct,black_pct,hispanic_pct,white_pct,vulnerability_score
01001,Alabama,Autauga County,South,59285.0,11.7,17.0,16.63,14.15,9.08,69841.0,2.54,2.2,7.36,8.72,12.04,8.76,3.57,1200.0,31.55,17.39,90.88,0.25,18.98,2.2,11.97,9.16,11.9,15.98,19.95,3.69,73.57,22.348
01003,Alabama,Baldwin County,South,239945.0,10.0,14.1,32.2,21.36,7.53,75019.0,3.19,2.3,8.17,10.11,11.43,6.85,3.03,1211.0,46.38,20.42,89.75,0.1,19.25,8.12,26.53,8.58,8.12,21.39,7.98,5.58,82.82,22.472
01005,Alabama,Barbour County,South,24757.0,25.5,34.8,29.34,50.21,9.92,44290.0,5.71,4.4,10.84,13.76,24.37,22.17,12.6,644.0,40.39,17.79,72.3,0.21,21.38,5.53,41.3,1.17,25.01,19.72,46.92,6.02,43.99,29.674
01007,Alabama,Bibb County,South,22152.0,19.4,21.4,41.74,45.54,14.2,51215.0,9.98,2.5,8.32,10.07,20.28,20.27,13.55,802.0,57.23,28.61,81.15,0.11,20.07,8.47,26.42,3.67,8.47,16.96,20.71,3.36,75.09,27.296000000000003
01009,Alabama,Blount County,South,59292.0,12.8,16.6,12.52,30.44,12.37,61096.0,5.84,2.1,10.19,12.48,17.0,12.31,6.95,743.0,50.25,23.61,83.93,0.0,19.55,10.46,25.96,3.97,19.72,18.58,1.26,10.06,89.49,25.07
01011,Alabama,Bullock County,South,10157.0,33.6,39.8,28.3,45.67,6.9,36723.0,5.87,2.4,12.94,15.91,38.69,32.93,16.39,635.0,55.6,40.8,64.99,0.0,13.45,4.91,39.16,1.64,23.08,17.89,71.22,5.68,22.91,34.794
01013,Alabama,Butler County,South,18807.0,23.6,37.4,32.38,17.33,11.69,44881.0,6.79,2.9,12.26,15.35,21.74,16.37,8.15,722.0,46.9,26.66,79.76,0.33,18.38,3.54,39.86,2.81,36.47,21.41,44.72,1.6,51.16,28.901999999999997
01015,Alabama,Calhoun County,South,116141.0,20.1,28.5,25.38,35.54,13.73,55826.0,6.44,2.8,11.09,13.42,18.03,17.21,8.49,804.0,45.05,23.96,85.34,0.61,23.19,3.45,24.76,4.05,4.25,18.03,21.97,4.43,71.0,25.82
01017,Alabama,Chambers County,South,34450.0,17.1,26.0,16.81,32.53,13.47,49295.0,4.96,2.4,12.24,14.97,19.55,17.14,9.02,850.0,37.53,16.81,78.76,0.53,20.97,4.65,29.51,4.44,4.65,19.98,39.76,3.69,55.41,26.913999999999998
01019,Alabama,Cherokee County,South,25224.0,15.6,20.5,18.41,39.81,13.27,50769.0,3.44,2.4,9.02,11.61,15.31,11.45,6.22,750.0,38.65,5.43,80.23,0.65,25.89,7.4,21.94,4.3,18.26,23.8,3.76,1.73,91.25,24.387999999999998
